,nake_name,version,Seq_Length,no_valid_file,length,model_i0_index,model_i1_index,model_i2_index,model_i3_index,model_i4_index,model_i5_index,model_i6_index,model_i7_index,model_i8_index,model_i9_index,model_i10_index,model_i11_index,model_i12_index
0,NittoAnnualReport/Nitto_2007.pdf,0.1.1,60,True,0,,,,,,,,,,,,,
1,NittoAnnualReport/Nitto_2008.pdf,0.1.1,60,False,613,0.000897316902410239,9.371669875690714e-06,0.00019700689881574363,0.0008051465265452862,0.0007005170919001102,6.422099977498874e-05,0.00144224613904953,0.0002598192950244993,0.0015489335637539625,4.088260538992472e-06,0.0009622524958103895,3.0289168080344098e-06,0.015985436737537384
2,NittoAnnualReport/Nitto_2009.pdf,0.1.1,60,True,0,,,,,,,,,,,,,
3,NittoAnnualReport/Nitto_2010.pdf,0.1.1,60,False,10604,0.06495960056781769,0.08834667503833771,0.10720787197351456,0.11409081518650055,0.024707557633519173,0.04697402939200401,0.1295311152935028,0.04167412593960762,0.037323903292417526,0.055573850870132446,0.06299392879009247,0.050197869539260864,0.00025304651353508234
4,NittoAnnualReport/Nitto_2011.pdf,0.1.1,60,False,10856,0.05020221322774887,0.11093328893184662,0.08599279075860977,0.0904727652668953,0.02060777135193348,0.04841528460383415,0.12558838725090027,0.04147296026349068,0.036912139505147934,0.06411934643983841,0.0684661865234375,0.04903969541192055,0.000644231797195971
5,NittoAnnualReport/Nitto_2012.pdf,0.1.1,60,False,11383,0.04681332781910896,0.12286920100450516,0.09746883809566498,0.10278981178998947,0.029052380472421646,0.05668839067220688,0.10610717535018921,0.04958862066268921,0.03421648219227791,0.050715528428554535,0.057024192065000534,0.047237131744623184,0.0005704696523025632
6,NittoAnnualReport/Nitto_2013.pdf,0.1.1,60,False,14196,0.05977630987763405,0.11422309279441833,0.09900759160518646,0.09923062473535538,0.017825357615947723,0.057883333414793015,0.13000613451004028,0.07762840390205383,0.03352788835763931,0.047926537692546844,0.06047525629401207,0.041246797889471054,0.0003393419901840389
7,NittoAnnualReport/Nitto_2014.pdf,0.1.1,60,False,14395,0.05186273157596588,0.09899602085351944,0.10888273268938065,0.09788541495800018,0.0162576325237751,0.055916398763656616,0.11166000366210938,0.07373923063278198,0.04226021096110344,0.04665686935186386,0.06719651073217392,0.03623594716191292,0.0006566417869180441
8,NittoAnnualReport/Nitto_2015.pdf,0.1.1,60,False,14203,0.04618415981531143,0.10536406934261322,0.0870528444647789,0.09513378143310547,0.013500843197107315,0.06991466134786606,0.14465536177158356,0.07694830745458603,0.051552027463912964,0.047886449843645096,0.07209833711385727,0.03446478396654129,0.0003611309512052685
9,NittoAnnualReport/Nitto_2016.pdf,0.1.1,60,False,13016,0.06188410893082619,0.1057356521487236,0.07724814116954803,0.09813004732131958,0.017540430650115013,0.07052723318338394,0.12840519845485687,0.08885551989078522,0.04878236725926399,0.04211847484111786,0.055768340826034546,0.026883289217948914,0.0007406983058899641
10,NittoAnnualReport/Nitto_2017.pdf,0.1.1,60,False,14198,0.05579699948430061,0.10820996016263962,0.0748651772737503,0.10388071835041046,0.013782656751573086,0.07747506350278854,0.13946615159511566,0.09682391583919525,0.03214302659034729,0.037009596824645996,0.05830981954932213,0.035613253712654114,0.0006650935974903405
11,NittoAnnualReport/Nitto_2018.pdf,0.1.1,60,False,14160,0.04924093559384346,0.09922394156455994,0.06441133469343185,0.12666520476341248,0.014383053407073021,0.07390359044075012,0.1244630515575409,0.08468998968601227,0.0343131385743618,0.04029558598995209,0.06367690116167068,0.039245232939720154,0.000475137319881469
12,NittoAnnualReport/Nitto_2019.pdf,0.1.1,60,False,19242,0.027480535209178925,0.07565923780202866,0.047970663756132126,0.0863410159945488,0.017956959083676338,0.08599746972322464,0.1156378760933876,0.0804964005947113,0.0604877732694149,0.04263864830136299,0.08684036135673523,0.031891386955976486,0.0005896175280213356
13,NittoAnnualReport/Nitto_2020.pdf,0.1.1,60,False,23635,0.03368106484413147,0.06702844053506851,0.05767242982983589,0.06743545830249786,0.012940752319991589,0.09704388678073883,0.1422448605298996,0.0991177037358284,0.06429318338632584,0.03935897350311279,0.08664048463106155,0.0340079739689827,0.00046737046795897186
14,NittoAnnualReport/Nitto_2021.pdf,0.1.1,60,False,28556,0.031043928116559982,0.059502314776182175,0.05817936733365059,0.06542416661977768,0.014764306135475636,0.09480096399784088,0.11640375852584839,0.07005026936531067,0.0938209593296051,0.04523211345076561,0.07420242577791214,0.03681422397494316,0.0003692377940751612
15,NittoAnnualReport/Nitto_2022.pdf,0.1.1,60,False,31064,0.03519369661808014,0.05675733834505081,0.11279205232858658,0.062232404947280884,0.016801757737994194,0.09189486503601074,0.11336719244718552,0.10466190427541733,0.07277262955904007,0.035301823168992996,0.07775990664958954,0.037599071860313416,0.0004644322907552123
16,NittoAnnualReport/Nitto_2023.pdf,0.1.1,60,False,28561,0.027495719492435455,0.06406572461128235,0.08750507980585098,0.05706875026226044,0.015896646305918694,0.08811701834201813,0.10287009179592133,0.11492319405078888,0.07650559395551682,0.032633621245622635,0.08704695105552673,0.03857399895787239,0.0005228976369835436
17,NittoAnnualReport/Sumitomo_chem_2007.pdf,0.1.1,60,False,23316,0.011295663192868233,0.04219059273600578,0.024825764819979668,0.04337454214692116,0.08046166598796844,0.018065081909298897,0.08192165940999985,0.01486701425164938,0.03646586090326309,0.15394026041030884,0.03276558965444565,0.0350559838116169,0.00032228443888016045
18,NittoAnnualReport/Sumitomo_chem_2008.pdf,0.1.1,60,False,23601,0.012412697076797485,0.04663670435547829,0.028849566355347633,0.05633962154388428,0.07868926227092743,0.01810874231159687,0.08494846522808075,0.009860784746706486,0.035673655569553375,0.17619648575782776,0.02228868007659912,0.03677302226424217,0.0005294809816405177
19,NittoAnnualReport/Sumitomo_chem_2009.pdf,0.1.1,60,False,26451,0.012494554743170738,0.03966299071907997,0.03127963840961456,0.04723703861236572,0.0818711668252945,0.01942117139697075,0.07965978980064392,0.011250629089772701,0.03706072270870209,0.15941670536994934,0.018926218152046204,0.03850819543004036,0.0004328412760514766
20,NittoAnnualReport/Sumitomo_chem_2010.pdf,0.1.1,60,False,28208,0.010975511744618416,0.036849647760391235,0.02418094128370285,0.03628810867667198,0.06213633716106415,0.01608881913125515,0.08210384100675583,0.010559428483247757,0.03752177208662033,0.1752168983221054,0.02579437755048275,0.03808170184493065,0.0002012376644415781
21,NittoAnnualReport/Sumitomo_chem_2011.pdf,0.1.1,60,False,33497,0.018315821886062622,0.04130535200238228,0.02501758560538292,0.05096994712948799,0.07287329435348511,0.025206927210092545,0.09081154316663742,0.01683334819972515,0.041381992399692535,0.14163906872272491,0.03562464937567711,0.0370771586894989,0.005277169402688742
22,NittoAnnualReport/Sumitomo_chem_2012.pdf,0.1.1,60,False,34195,0.018945440649986267,0.040284786373376846,0.027488619089126587,0.04408692196011543,0.06928791850805283,0.02281695045530796,0.09332824498414993,0.016182662919163704,0.047220099717378616,0.12676703929901123,0.03442652150988579,0.0320427268743515,0.005171407014131546
23,NittoAnnualReport/Sumitomo_chem_2013.pdf,0.1.1,60,False,35611,0.017176609486341476,0.03408173844218254,0.03170459344983101,0.03603450953960419,0.06045292317867279,0.026565387845039368,0.10086964070796967,0.017213473096489906,0.0584610290825367,0.12897829711437225,0.03577554598450661,0.03014879673719406,0.00015303461987059563
24,NittoAnnualReport/Sumitomo_chem_2014.pdf,0.1.1,60,False,35628,0.02261420339345932,0.03379538655281067,0.025467975065112114,0.03843646124005318,0.05752724036574364,0.034955207258462906,0.09989500045776367,0.020200679078698158,0.05583838000893593,0.12525224685668945,0.042732998728752136,0.02919156849384308,0.00027021297137252986
25,NittoAnnualReport/Sumitomo_chem_2015.pdf,0.1.1,60,False,34917,0.013200758025050163,0.04327903687953949,0.028338728472590446,0.034892257302999496,0.05307135730981827,0.03360395506024361,0.09755844622850418,0.022351214662194252,0.057359613478183746,0.11573981493711472,0.044135697185993195,0.03280187398195267,0.0002526541647966951
26,NittoAnnualReport/Sumitomo_chem_2016.pdf,0.1.1,60,False,26432,0.02153800241649151,0.04712890088558197,0.028654031455516815,0.053889259696006775,0.061992187052965164,0.04823150858283043,0.14366307854652405,0.02961752377450466,0.07610870897769928,0.07418499141931534,0.058636199682950974,0.04011767357587814,0.0005401395028457046
27,NittoAnnualReport/Sumitomo_chem_2017.pdf,0.1.1,60,False,26554,0.014112189412117004,0.04716949164867401,0.05565891042351723,0.05066137760877609,0.04228128865361214,0.051511701196432114,0.1407517045736313,0.031230228021740913,0.0721684917807579,0.09352673590183258,0.06635867804288864,0.03444232419133186,0.0006730338791385293
28,NittoAnnualReport/Sumitomo_chem_2018.pdf,0.1.1,60,False,30278,0.01618782989680767,0.04139875993132591,0.04749717190861702,0.04506126791238785,0.04626781493425369,0.060769643634557724,0.15373125672340393,0.050877105444669724,0.06654754281044006,0.07171233743429184,0.06822721660137177,0.040781471878290176,0.0006672494928352535
29,NittoAnnualReport/Sumitomo_chem_2019.pdf,0.1.1,60,False,33885,0.017697365954518318,0.03929585590958595,0.07172444462776184,0.046784427016973495,0.0394488088786602,0.05729372799396515,0.15312106907367706,0.07203973829746246,0.07210945338010788,0.05525576323270798,0.0654488131403923,0.037327997386455536,0.0007122099050320685
30,NittoAnnualReport/Sumitomo_chem_2020.pdf,0.1.1,60,False,37732,0.016439741477370262,0.04932621866464615,0.08005162328481674,0.048296574503183365,0.043930765241384506,0.059343867003917694,0.14291079342365265,0.07614542543888092,0.06533965468406677,0.05791720747947693,0.06770989298820496,0.036854326725006104,0.0004540618974715471
31,NittoAnnualReport/Sumitomo_chem_2021.pdf,0.1.1,60,False,41439,0.01455639023333788,0.051635269075632095,0.11358236521482468,0.0479675717651844,0.04337918758392334,0.051830049604177475,0.1364307403564453,0.054434411227703094,0.0686158612370491,0.061965957283973694,0.06504872441291809,0.03954979032278061,0.0002843200054485351
32,NittoAnnualReport/Sumitomo_chem_2022.pdf,0.1.1,60,False,54317,0.016319705173373222,0.0572185218334198,0.10869448632001877,0.05979451537132263,0.03766811639070511,0.061750199645757675,0.15212422609329224,0.06379494071006775,0.06402278691530228,0.04903603345155716,0.0682229995727539,0.03872855007648468,0.0002330448041902855
